title,type,description,effect,pic
ORACC,Project,You just won Oracc! Prepare for Sumerian fun and Jython. A lot of Jython.,Keep this card. No other events can make you lose this card.,oracc.png
Zacros,Project,You just won Zacros! Modern Fortran can be so much fun. Really!,"Keep this card. If you get the Fortran curse, it will be amplified, and you'll have to lose 2 rounds instead of 1.",zacros.png
Critical Care,Project,You just won Critical Care! Explore the rabbit hole of hospital data.,"Keep this card. Counts as 3 projects for ""Funding confirmed!""",cc.png
CloudLabs,Project,"CloudLabs just got funded! Azure, ITCPD and ISD Architects, what could go wrong?",Keep this card.,cloudlabs.png
Research Software Dashboard,Project,Dashboard just got funded! Software might one day be as recognised as papers. Maybe.,Keep this card.,dashboard.png
ShipViz,Project,"You just won ShipViz! Ships and maps, Raquel will love this.",Keep this card. Raquel's card has no effect.,shipviz.png
BICO,Project,You just won BICO! Get ready for clear skies and MPI madness.,Keep this card. ,bico.png
HHPredY,Project,You just won HHPredY! And all of the yeast's secrets shall be revealled.,Keep this card. ,levine.png
FASt-Mal,Project,You just won FASt-Mal! Will AI be better at diagnosing Malaria than clinicians? ,Keep this card. Truce with CS! The Cold War has no effect.,fastmal.png
HemeLB,Project,"You just won HemeLB! You're modelling vascular bloodflow, but what about the edge cases?",Keep this card.,hemelb.png
EPPI Reviewer,Project,"You just won EPPI Reviewer! Hold on, what's CSLA again? You just lost EPPI Reviewer.","Keep for 2 turns. Then, discard this card.",eppi.png
Eyeballs,Project,You just won a project with Moorfields Eye Hospital!  ,Keep this card.,moorfields.png
Inform,Project,,,inform.png
Oceanic Exchanges,Project,,,ocex.png
EIT,Project,,,eit.png
AbySIS,Project,,,abysis.png
GloTraM,Project,,,glotram.png
DCProgs,Project,,,dcprogs.png
BEM++ Science Gateway,Project,You just won... err... some project with... someone?,Keep this card... maybe?,bem.png
Lyrical Kombat,Project,,,youtube.png
Web Lab,Project,You just won Web Lab! Jonathan gets distracted being a PI.,Keep this card. Jonathan's ability has no effect.,weblab.png
